Time (s),Min Depth (m),Throttle
32.39400887489319,0.0,0.0
32.45849967002869,0.0,0.0
32.5244517326355,0.0,0.0
32.59252667427063,0.0,0.0
32.657787561416626,0.0,0.0
32.725489377975464,0.0,0.0
32.79129147529602,0.0,0.0
32.8588662147522,0.0,0.0
32.924355268478394,0.0,0.0
32.992125272750854,0.0,0.0
33.05749201774597,0.0,0.0
33.126338481903076,0.0,0.0
33.19085359573364,0.0,0.0
33.258628129959106,0.0,0.0
33.32456398010254,0.0,0.0
33.3918399810791,0.0,0.0
33.4582896232605,0.0,0.0
33.52630877494812,0.0,0.0
33.59199643135071,0.0,0.0
33.66156983375549,0.0,0.0
33.72520923614502,0.0,0.0
33.79287648200989,0.0,0.0
33.857730865478516,0.0,0.0
33.92589044570923,0.0,0.0
33.99124503135681,0.0,0.0
34.06069302558899,0.0,0.0
34.124691009521484,0.0,0.0
34.19235587120056,0.0,0.0
34.257609605789185,0.0,0.0
34.32512927055359,1.8950001,0.06
34.39111351966858,0.0,0.0
34.45958209037781,0.0,0.0
34.524378538131714,0.0,0.0
34.593514919281006,0.0,0.0
34.67061638832092,0.0,0.0
34.72594594955444,0.0,0.0
34.79134774208069,0.0,0.0
34.8603081703186,0.0,0.0
34.92407584190369,1.7960001,0.06
34.99302363395691,0.0,0.0
35.058637857437134,0.0,0.0
35.126683950424194,0.0,0.0
35.19130277633667,1.8750001,0.06
35.258899450302124,0.0,0.0
35.325666427612305,0.0,0.0
35.39334774017334,0.0,0.0
35.458837270736694,1.8510001,0.06
35.52682900428772,0.0,0.0
35.592421531677246,0.0,0.0
35.65929675102234,1.9020001,0.06
35.72459697723389,0.0,0.0
35.79412508010864,0.0,0.0
35.85724329948425,0.0,0.0
35.92534112930298,0.0,0.0
35.99279832839966,0.0,0.0
36.05898094177246,0.0,0.0
36.12821912765503,0.0,0.0
36.19328713417053,0.0,0.0
36.257627725601196,0.0,0.0
36.3253755569458,0.0,0.0
36.39055871963501,0.0,0.0
36.45864748954773,0.0,0.0
36.524229526519775,0.0,0.0
36.59214186668396,0.0,0.0
36.658239126205444,0.0,0.0
36.72470688819885,0.0,0.0
36.792513847351074,0.0,0.0
36.85938334465027,0.0,0.0
36.92401909828186,0.0,0.0
36.991607904434204,0.0,0.0
37.05719470977783,0.0,0.0
37.12491822242737,0.0,0.0
37.190510749816895,0.0,0.0
37.2582266330719,0.0,0.0
37.324240922927856,0.0,0.0
37.391542196273804,0.0,0.0
